id;numero_rue;nom_voie;street_name;postal_code;city;nom_departement;nom_region
1;Secured a;Tomé-et-Principe program Allemagne;Meyer de Caumartin;Account back-end Plastic;Poitiers;generating Frozen auxiliary;explicit c
2;port virtual;Savings parse;Vincent Charlemagne;stable Outdoors;East Marieland;SCSI;Diverse
3;Fuerte Sports;17(E.U.A.-17) Frozen Ouzbékistan;Leroy La Boétie;transmitting;Lake Ernestine;e-services;Mongolie Business-focused RAM
4;Analyste Azerbaïdjan;Generic;Fleury de la Victoire;impactful Pataca turn-key;Guillotfurt;Bedfordshire Developpeur;pixel auxiliary Kirghizistan
5;vertical Laffitte c;connect Toys c;Legrand Bonaparte;full-range;Le gallton;blue drive copying;payment
6;payment Fresh;holistic Granite;Victoire de la Victoire;Automotive;Dimitriborough;extensible protocol;Coordinateur withdrawal compressing
7;up PCI;c;Blanc de la Paix;Keyboard;Angilranport;Franc withdrawal Home;Shoes
8;sensor c purple;Limousin;Petit de Vaugirard;program;East Rachidport;transitional;THX Royale d'Argenteuil
9;Shirt ivory;Haute-Normandie;Aubry Royale;Ball Intelligent;Calais;compressing Suisse payment;Tools parsing
10;Consultant black;leverage Laffitte;Morel Pierre Charron;Cotton a;Port Claudestad;Health;Picardie
